Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Date,USDINR,USDSGD,Price_INR,Price_SGD,Split_Adjusted_Close
Trades,Data,Order,Stocks,USD,MARA,"2025-01-06, 10:53:59",-500.0,20.52,20.55,10260.0,-3.14544352,-11417.6562,-1160.801643,-15.0,C,2025-01-06,85.61,1.3589,1756.7172,27.884628,20.549999237060547
Trades,Data,Order,Stocks,USD,MARA,"2025-01-07, 10:38:06",400.0,19.15,19.07,-7660.0,-2.19526,7662.19526,0.0,-32.0,O;P,2025-01-07,85.74,1.3615,1641.9209999999998,26.072725,19.06999969482422
Trades,Data,Order,Stocks,USD,MARA,"2025-01-07, 10:53:51",-400.0,19.4,19.07,7760.0,-2.50277952,-8002.200928,-244.703708,132.0,C,2025-01-07,85.74,1.3615,1663.3559999999998,26.413099999999996,19.06999969482422
Trades,Data,Order,Stocks,USD,MARA,"2025-01-08, 11:55:45",500.0,18.15,18.34,-9075.0,-2.744075,9077.744075,0.0,95.0,O,2025-01-08,85.89,1.3704,1558.9035,24.87276,18.34000015258789
Trades,Data,Order,Stocks,USD,MARA,"2025-01-08, 13:26:56",-500.0,18.4,18.34,9200.0,-3.1133234,-8802.745492,394.141184,30.0,C;P,2025-01-08,85.89,1.3704,1580.376,25.21536,18.34000015258789
Trades,Data,Order,Stocks,USD,MARA,"2025-01-10, 12:04:12",600.0,17.55,17.86,-10530.0,-3.29289,10533.29289,0.0,186.0,O;P,2025-01-10,86.02,1.3676,1509.651,24.00138,17.860000610351562
Trades,Data,Order,Stocks,USD,MARA,"2025-01-10, 12:56:30",-600.0,17.9,17.86,10740.0,-3.72689748,-11293.29289,-557.019788,24.0,C,2025-01-10,86.02,1.3676,1539.7579999999998,24.480039999999995,17.860000610351562
Trades,Data,Order,Stocks,USD,MARA,"2025-01-13, 09:30:02",600.0,17.0,17.19,-10200.0,-3.29289,10203.29289,0.0,114.0,O,2025-01-13,86.7,1.3738,1473.9,23.354599999999998,17.190000534057617
Trades,Data,Order,Stocks,USD,MARA,"2025-01-13, 09:51:46",-600.0,17.2,17.19,10320.0,-3.71417064,-10713.36058,-397.074749,6.0,C,2025-01-13,86.7,1.3738,1491.24,23.62936,17.190000534057617
Trades,Data,Order,Stocks,USD,MARA,"2025-01-13, 11:30:00",600.0,16.9,17.19,-10140.0,-3.29289,10143.29289,0.0,174.0,O,2025-01-13,86.7,1.3738,1465.23,23.217219999999998,17.190000534057617
